Time,Carbon Intensity
2024-01-01 00:00:00,186.0
2024-01-01 01:00:00,187.0
2024-01-01 02:00:00,192.0
2024-01-01 03:00:00,194.0
2024-01-01 04:00:00,194.0
2024-01-01 05:00:00,195.0
2024-01-01 06:00:00,195.0
2024-01-01 07:00:00,191.0
2024-01-01 08:00:00,185.0
2024-01-01 09:00:00,178.0
2024-01-01 10:00:00,172.0
2024-01-01 11:00:00,173.0
2024-01-01 12:00:00,176.0
2024-01-01 13:00:00,187.0
2024-01-01 14:00:00,195.0
2024-01-01 15:00:00,200.0
2024-01-01 16:00:00,205.0
2024-01-01 17:00:00,208.0
2024-01-01 18:00:00,209.0
2024-01-01 19:00:00,206.0
2024-01-01 20:00:00,208.0
2024-01-01 21:00:00,212.0
2024-01-01 22:00:00,220.0
2024-01-01 23:00:00,219.0
2024-01-02 00:00:00,220.0
2024-01-02 01:00:00,221.0
2024-01-02 02:00:00,217.0
2024-01-02 03:00:00,208.0
2024-01-02 04:00:00,201.0
2024-01-02 05:00:00,194.0
2024-01-02 06:00:00,193.0
2024-01-02 07:00:00,196.0
2024-01-02 08:00:00,202.0
2024-01-02 09:00:00,205.0
2024-01-02 10:00:00,213.0
2024-01-02 11:00:00,224.0
2024-01-02 12:00:00,227.0
2024-01-02 13:00:00,235.0
2024-01-02 14:00:00,232.0
2024-01-02 15:00:00,231.0
2024-01-02 16:00:00,220.0
2024-01-02 17:00:00,212.0
2024-01-02 18:00:00,196.0
2024-01-02 19:00:00,185.0
2024-01-02 20:00:00,175.0
2024-01-02 21:00:00,174.0
2024-01-02 22:00:00,173.0
2024-01-02 23:00:00,175.0
2024-01-03 00:00:00,174.0
2024-01-03 01:00:00,176.0
2024-01-03 02:00:00,175.0
2024-01-03 03:00:00,173.0
2024-01-03 04:00:00,170.0
2024-01-03 05:00:00,163.0
2024-01-03 06:00:00,165.0
2024-01-03 07:00:00,170.0
2024-01-03 08:00:00,173.0
2024-01-03 09:00:00,165.0
2024-01-03 10:00:00,160.0
2024-01-03 11:00:00,159.0
2024-01-03 12:00:00,165.0
2024-01-03 13:00:00,167.0
2024-01-03 14:00:00,179.0
2024-01-03 15:00:00,203.0
2024-01-03 16:00:00,222.0
2024-01-03 17:00:00,231.0
2024-01-03 18:00:00,230.0
2024-01-03 19:00:00,223.0
2024-01-03 20:00:00,210.0
2024-01-03 21:00:00,207.0
2024-01-03 22:00:00,206.0
2024-01-03 23:00:00,197.0
2024-01-04 00:00:00,192.0
2024-01-04 01:00:00,190.0
2024-01-04 02:00:00,192.0
2024-01-04 03:00:00,191.0
2024-01-04 04:00:00,198.0
2024-01-04 05:00:00,221.0
2024-01-04 06:00:00,258.0
2024-01-04 07:00:00,276.0
2024-01-04 08:00:00,287.0
2024-01-04 09:00:00,286.0
2024-01-04 10:00:00,293.0
2024-01-04 11:00:00,305.0
2024-01-04 12:00:00,324.0
2024-01-04 13:00:00,359.0
2024-01-04 14:00:00,401.0
2024-01-04 15:00:00,427.0
2024-01-04 16:00:00,443.0
2024-01-04 17:00:00,464.0
2024-01-04 18:00:00,474.0
2024-01-04 19:00:00,479.0
2024-01-04 20:00:00,485.0
2024-01-04 21:00:00,473.0
2024-01-04 22:00:00,453.0
2024-01-04 23:00:00,435.0
2024-01-05 00:00:00,405.0
2024-01-05 01:00:00,384.0
2024-01-05 02:00:00,367.0
2024-01-05 03:00:00,357.0
2024-01-05 04:00:00,354.0
2024-01-05 05:00:00,355.0
2024-01-05 06:00:00,375.0
2024-01-05 07:00:00,382.0
2024-01-05 08:00:00,378.0
2024-01-05 09:00:00,366.0
2024-01-05 10:00:00,351.0
2024-01-05 11:00:00,350.0
2024-01-05 12:00:00,350.0
2024-01-05 13:00:00,360.0
2024-01-05 14:00:00,372.0
2024-01-05 15:00:00,377.0
2024-01-05 16:00:00,374.0
2024-01-05 17:00:00,378.0
2024-01-05 18:00:00,397.0
2024-01-05 19:00:00,411.0
2024-01-05 20:00:00,409.0
2024-01-05 21:00:00,411.0
2024-01-05 22:00:00,399.0
2024-01-05 23:00:00,396.0
2024-01-06 00:00:00,395.0
2024-01-06 01:00:00,394.0
2024-01-06 02:00:00,393.0
2024-01-06 03:00:00,394.0
2024-01-06 04:00:00,404.0
2024-01-06 05:00:00,411.0
2024-01-06 06:00:00,434.0
2024-01-06 07:00:00,453.0
2024-01-06 08:00:00,447.0
2024-01-06 09:00:00,438.0
2024-01-06 10:00:00,438.0
2024-01-06 11:00:00,432.0
2024-01-06 12:00:00,432.0
2024-01-06 13:00:00,435.0
2024-01-06 14:00:00,438.0
2024-01-06 15:00:00,436.0
2024-01-06 16:00:00,426.0
2024-01-06 17:00:00,429.0
2024-01-06 18:00:00,438.0
2024-01-06 19:00:00,436.0
2024-01-06 20:00:00,446.0
2024-01-06 21:00:00,447.0
2024-01-06 22:00:00,445.0
2024-01-06 23:00:00,442.0
2024-01-07 00:00:00,426.0
2024-01-07 01:00:00,404.0
2024-01-07 02:00:00,401.0
2024-01-07 03:00:00,401.0
2024-01-07 04:00:00,404.0
2024-01-07 05:00:00,405.0
2024-01-07 06:00:00,411.0
2024-01-07 07:00:00,428.0
2024-01-07 08:00:00,448.0
2024-01-07 09:00:00,446.0
2024-01-07 10:00:00,428.0
2024-01-07 11:00:00,418.0
2024-01-07 12:00:00,417.0
2024-01-07 13:00:00,419.0
2024-01-07 14:00:00,423.0
2024-01-07 15:00:00,414.0
2024-01-07 16:00:00,409.0
2024-01-07 17:00:00,419.0
2024-01-07 18:00:00,423.0
2024-01-07 19:00:00,430.0
2024-01-07 20:00:00,429.0
2024-01-07 21:00:00,431.0
2024-01-07 22:00:00,406.0
2024-01-07 23:00:00,385.0
2024-01-08 00:00:00,367.0
2024-01-08 01:00:00,357.0
