Time,Carbon Intensity
2024-01-01 00:00:00,601.0
2024-01-01 01:00:00,607.0
2024-01-01 02:00:00,614.0
2024-01-01 03:00:00,623.0
2024-01-01 04:00:00,631.0
2024-01-01 05:00:00,641.0
2024-01-01 06:00:00,644.0
2024-01-01 07:00:00,636.0
2024-01-01 08:00:00,641.0
2024-01-01 09:00:00,640.0
2024-01-01 10:00:00,621.0
2024-01-01 11:00:00,624.0
2024-01-01 12:00:00,606.0
2024-01-01 13:00:00,608.0
2024-01-01 14:00:00,627.0
2024-01-01 15:00:00,616.0
2024-01-01 16:00:00,597.0
2024-01-01 17:00:00,583.0
2024-01-01 18:00:00,584.0
2024-01-01 19:00:00,601.0
2024-01-01 20:00:00,601.0
2024-01-01 21:00:00,618.0
2024-01-01 22:00:00,638.0
2024-01-01 23:00:00,637.0
2024-01-02 00:00:00,643.0
2024-01-02 01:00:00,654.0
2024-01-02 02:00:00,653.0
2024-01-02 03:00:00,663.0
2024-01-02 04:00:00,659.0
2024-01-02 05:00:00,666.0
2024-01-02 06:00:00,672.0
2024-01-02 07:00:00,676.0
2024-01-02 08:00:00,655.0
2024-01-02 09:00:00,625.0
2024-01-02 10:00:00,606.0
2024-01-02 11:00:00,614.0
2024-01-02 12:00:00,629.0
2024-01-02 13:00:00,654.0
2024-01-02 14:00:00,653.0
2024-01-02 15:00:00,637.0
2024-01-02 16:00:00,622.0
2024-01-02 17:00:00,612.0
2024-01-02 18:00:00,597.0
2024-01-02 19:00:00,584.0
2024-01-02 20:00:00,573.0
2024-01-02 21:00:00,578.0
2024-01-02 22:00:00,553.0
2024-01-02 23:00:00,538.0
2024-01-03 00:00:00,530.0
2024-01-03 01:00:00,528.0
2024-01-03 02:00:00,528.0
2024-01-03 03:00:00,528.0
2024-01-03 04:00:00,539.0
2024-01-03 05:00:00,557.0
2024-01-03 06:00:00,568.0
2024-01-03 07:00:00,564.0
2024-01-03 08:00:00,553.0
2024-01-03 09:00:00,553.0
2024-01-03 10:00:00,555.0
2024-01-03 11:00:00,567.0
2024-01-03 12:00:00,579.0
2024-01-03 13:00:00,599.0
2024-01-03 14:00:00,610.0
2024-01-03 15:00:00,606.0
2024-01-03 16:00:00,603.0
2024-01-03 17:00:00,600.0
2024-01-03 18:00:00,601.0
2024-01-03 19:00:00,593.0
2024-01-03 20:00:00,602.0
2024-01-03 21:00:00,614.0
2024-01-03 22:00:00,621.0
2024-01-03 23:00:00,622.0
2024-01-04 00:00:00,625.0
2024-01-04 01:00:00,626.0
2024-01-04 02:00:00,626.0
2024-01-04 03:00:00,629.0
2024-01-04 04:00:00,641.0
2024-01-04 05:00:00,656.0
2024-01-04 06:00:00,653.0
2024-01-04 07:00:00,644.0
2024-01-04 08:00:00,620.0
2024-01-04 09:00:00,599.0
2024-01-04 10:00:00,598.0
2024-01-04 11:00:00,589.0
2024-01-04 12:00:00,594.0
2024-01-04 13:00:00,608.0
2024-01-04 14:00:00,626.0
2024-01-04 15:00:00,636.0
2024-01-04 16:00:00,636.0
2024-01-04 17:00:00,640.0
2024-01-04 18:00:00,657.0
2024-01-04 19:00:00,656.0
2024-01-04 20:00:00,655.0
2024-01-04 21:00:00,642.0
2024-01-04 22:00:00,648.0
2024-01-04 23:00:00,669.0
2024-01-05 00:00:00,689.0
2024-01-05 01:00:00,699.0
2024-01-05 02:00:00,710.0
2024-01-05 03:00:00,728.0
2024-01-05 04:00:00,728.0
2024-01-05 05:00:00,740.0
2024-01-05 06:00:00,727.0
2024-01-05 07:00:00,709.0
2024-01-05 08:00:00,684.0
2024-01-05 09:00:00,673.0
2024-01-05 10:00:00,668.0
2024-01-05 11:00:00,669.0
2024-01-05 12:00:00,680.0
2024-01-05 13:00:00,693.0
2024-01-05 14:00:00,708.0
2024-01-05 15:00:00,708.0
2024-01-05 16:00:00,706.0
2024-01-05 17:00:00,701.0
2024-01-05 18:00:00,696.0
2024-01-05 19:00:00,697.0
2024-01-05 20:00:00,703.0
2024-01-05 21:00:00,685.0
2024-01-05 22:00:00,685.0
2024-01-05 23:00:00,669.0
2024-01-06 00:00:00,679.0
2024-01-06 01:00:00,683.0
2024-01-06 02:00:00,692.0
2024-01-06 03:00:00,691.0
2024-01-06 04:00:00,692.0
2024-01-06 05:00:00,687.0
2024-01-06 06:00:00,691.0
2024-01-06 07:00:00,684.0
2024-01-06 08:00:00,671.0
2024-01-06 09:00:00,673.0
2024-01-06 10:00:00,676.0
2024-01-06 11:00:00,673.0
2024-01-06 12:00:00,662.0
2024-01-06 13:00:00,650.0
2024-01-06 14:00:00,662.0
2024-01-06 15:00:00,661.0
2024-01-06 16:00:00,654.0
2024-01-06 17:00:00,648.0
2024-01-06 18:00:00,641.0
2024-01-06 19:00:00,620.0
2024-01-06 20:00:00,618.0
2024-01-06 21:00:00,624.0
2024-01-06 22:00:00,634.0
2024-01-06 23:00:00,643.0
2024-01-07 00:00:00,637.0
2024-01-07 01:00:00,636.0
2024-01-07 02:00:00,644.0
2024-01-07 03:00:00,653.0
2024-01-07 04:00:00,653.0
2024-01-07 05:00:00,656.0
2024-01-07 06:00:00,657.0
2024-01-07 07:00:00,652.0
