Time,Carbon Intensity
2021-01-12 00:00:00,271.0
2021-01-12 01:00:00,277.0
2021-01-12 02:00:00,283.0
2021-01-12 03:00:00,305.0
2021-01-12 04:00:00,339.0
2021-01-12 05:00:00,388.0
2021-01-12 06:00:00,415.0
2021-01-12 07:00:00,431.0
2021-01-12 08:00:00,437.0
2021-01-12 09:00:00,439.0
2021-01-12 10:00:00,439.0
2021-01-12 11:00:00,437.0
2021-01-12 12:00:00,432.0
2021-01-12 13:00:00,437.0
2021-01-12 14:00:00,449.0
2021-01-12 15:00:00,450.0
2021-01-12 16:00:00,445.0
2021-01-12 17:00:00,432.0
2021-01-12 18:00:00,425.0
2021-01-12 19:00:00,415.0
2021-01-12 20:00:00,401.0
2021-01-12 21:00:00,398.0
2021-01-12 22:00:00,379.0
2021-01-12 23:00:00,360.0
2021-01-13 00:00:00,352.0
2021-01-13 01:00:00,349.0
2021-01-13 02:00:00,347.0
2021-01-13 03:00:00,357.0
2021-01-13 04:00:00,374.0
2021-01-13 05:00:00,395.0
2021-01-13 06:00:00,396.0
2021-01-13 07:00:00,398.0
2021-01-13 08:00:00,392.0
2021-01-13 09:00:00,374.0
2021-01-13 10:00:00,354.0
2021-01-13 11:00:00,344.0
2021-01-13 12:00:00,336.0
2021-01-13 13:00:00,337.0
2021-01-13 14:00:00,347.0
2021-01-13 15:00:00,352.0
2021-01-13 16:00:00,353.0
2021-01-13 17:00:00,351.0
2021-01-13 18:00:00,354.0
2021-01-13 19:00:00,353.0
2021-01-13 20:00:00,356.0
2021-01-13 21:00:00,357.0
2021-01-13 22:00:00,349.0
2021-01-13 23:00:00,325.0
2021-01-14 00:00:00,322.0
2021-01-14 01:00:00,330.0
2021-01-14 02:00:00,351.0
2021-01-14 03:00:00,397.0
2021-01-14 04:00:00,451.0
2021-01-14 05:00:00,501.0
2021-01-14 06:00:00,544.0
2021-01-14 07:00:00,562.0
2021-01-14 08:00:00,582.0
2021-01-14 09:00:00,586.0
2021-01-14 10:00:00,585.0
2021-01-14 11:00:00,587.0
2021-01-14 12:00:00,600.0
2021-01-14 13:00:00,609.0
2021-01-14 14:00:00,616.0
2021-01-14 15:00:00,617.0
2021-01-14 16:00:00,599.0
2021-01-14 17:00:00,607.0
2021-01-14 18:00:00,618.0
2021-01-14 19:00:00,617.0
2021-01-14 20:00:00,612.0
2021-01-14 21:00:00,612.0
2021-01-14 22:00:00,599.0
2021-01-14 23:00:00,588.0
2021-01-15 00:00:00,580.0
2021-01-15 01:00:00,575.0
2021-01-15 02:00:00,570.0
2021-01-15 03:00:00,572.0
2021-01-15 04:00:00,583.0
2021-01-15 05:00:00,605.0
2021-01-15 06:00:00,612.0
2021-01-15 07:00:00,602.0
2021-01-15 08:00:00,605.0
2021-01-15 09:00:00,601.0
2021-01-15 10:00:00,595.0
2021-01-15 11:00:00,598.0
2021-01-15 12:00:00,601.0
2021-01-15 13:00:00,609.0
2021-01-15 14:00:00,615.0
2021-01-15 15:00:00,623.0
2021-01-15 16:00:00,620.0
2021-01-15 17:00:00,631.0
2021-01-15 18:00:00,645.0
2021-01-15 19:00:00,669.0
2021-01-15 20:00:00,675.0
2021-01-15 21:00:00,665.0
2021-01-15 22:00:00,643.0
2021-01-15 23:00:00,623.0
2021-01-16 00:00:00,614.0
2021-01-16 01:00:00,607.0
2021-01-16 02:00:00,607.0
2021-01-16 03:00:00,607.0
2021-01-16 04:00:00,610.0
2021-01-16 05:00:00,617.0
2021-01-16 06:00:00,625.0
2021-01-16 07:00:00,624.0
2021-01-16 08:00:00,621.0
2021-01-16 09:00:00,611.0
2021-01-16 10:00:00,595.0
2021-01-16 11:00:00,578.0
2021-01-16 12:00:00,569.0
2021-01-16 13:00:00,575.0
2021-01-16 14:00:00,581.0
2021-01-16 15:00:00,579.0
2021-01-16 16:00:00,581.0
2021-01-16 17:00:00,580.0
2021-01-16 18:00:00,586.0
2021-01-16 19:00:00,581.0
2021-01-16 20:00:00,567.0
2021-01-16 21:00:00,565.0
2021-01-16 22:00:00,559.0
2021-01-16 23:00:00,558.0
2021-01-17 00:00:00,556.0
2021-01-17 01:00:00,557.0
2021-01-17 02:00:00,557.0
2021-01-17 03:00:00,556.0
2021-01-17 04:00:00,556.0
2021-01-17 05:00:00,567.0
2021-01-17 06:00:00,573.0
2021-01-17 07:00:00,588.0
2021-01-17 08:00:00,597.0
2021-01-17 09:00:00,602.0
2021-01-17 10:00:00,600.0
2021-01-17 11:00:00,602.0
2021-01-17 12:00:00,610.0
2021-01-17 13:00:00,621.0
2021-01-17 14:00:00,628.0
2021-01-17 15:00:00,625.0
2021-01-17 16:00:00,615.0
2021-01-17 17:00:00,613.0
2021-01-17 18:00:00,611.0
2021-01-17 19:00:00,601.0
2021-01-17 20:00:00,588.0
2021-01-17 21:00:00,569.0
2021-01-17 22:00:00,550.0
2021-01-17 23:00:00,539.0
2021-01-18 00:00:00,536.0
2021-01-18 01:00:00,539.0
2021-01-18 02:00:00,540.0
2021-01-18 03:00:00,536.0
2021-01-18 04:00:00,539.0
2021-01-18 05:00:00,542.0
2021-01-18 06:00:00,539.0
2021-01-18 07:00:00,529.0
2021-01-18 08:00:00,518.0
2021-01-18 09:00:00,512.0
2021-01-18 10:00:00,499.0
2021-01-18 11:00:00,487.0
2021-01-18 12:00:00,479.0
2021-01-18 13:00:00,467.0
2021-01-18 14:00:00,466.0
2021-01-18 15:00:00,457.0
2021-01-18 16:00:00,450.0
2021-01-18 17:00:00,446.0
2021-01-18 18:00:00,432.0
2021-01-18 19:00:00,415.0
2021-01-18 20:00:00,405.0
2021-01-18 21:00:00,404.0
2021-01-18 22:00:00,388.0
2021-01-18 23:00:00,373.0
2021-01-19 00:00:00,367.0
2021-01-19 01:00:00,367.0
2021-01-19 02:00:00,374.0
2021-01-19 03:00:00,368.0
2021-01-19 04:00:00,367.0
2021-01-19 05:00:00,379.0
2021-01-19 06:00:00,396.0
2021-01-19 07:00:00,399.0
2021-01-19 08:00:00,397.0
2021-01-19 09:00:00,393.0
2021-01-19 10:00:00,394.0
2021-01-19 11:00:00,409.0
2021-01-19 12:00:00,423.0
2021-01-19 13:00:00,432.0
2021-01-19 14:00:00,436.0
2021-01-19 15:00:00,442.0
2021-01-19 16:00:00,436.0
2021-01-19 17:00:00,429.0
2021-01-19 18:00:00,412.0
2021-01-19 19:00:00,379.0
2021-01-19 20:00:00,337.0
2021-01-19 21:00:00,315.0
2021-01-19 22:00:00,279.0
2021-01-19 23:00:00,261.0
2021-01-20 00:00:00,268.0
2021-01-20 01:00:00,271.0
2021-01-20 02:00:00,276.0
2021-01-20 03:00:00,279.0
2021-01-20 04:00:00,293.0
