Time,Carbon Intensity
2021-01-12 00:00:00,175.0
2021-01-12 01:00:00,185.0
2021-01-12 02:00:00,165.0
2021-01-12 03:00:00,175.0
2021-01-12 04:00:00,172.0
2021-01-12 05:00:00,189.0
2021-01-12 06:00:00,248.0
2021-01-12 07:00:00,310.0
2021-01-12 08:00:00,335.0
2021-01-12 09:00:00,327.0
2021-01-12 10:00:00,324.0
2021-01-12 11:00:00,323.0
2021-01-12 12:00:00,328.0
2021-01-12 13:00:00,331.0
2021-01-12 14:00:00,333.0
2021-01-12 15:00:00,337.0
2021-01-12 16:00:00,330.0
2021-01-12 17:00:00,340.0
2021-01-12 18:00:00,337.0
2021-01-12 19:00:00,339.0
2021-01-12 20:00:00,345.0
2021-01-12 21:00:00,350.0
2021-01-12 22:00:00,346.0
2021-01-12 23:00:00,327.0
2021-01-13 00:00:00,321.0
2021-01-13 01:00:00,320.0
2021-01-13 02:00:00,309.0
2021-01-13 03:00:00,305.0
2021-01-13 04:00:00,303.0
2021-01-13 05:00:00,313.0
2021-01-13 06:00:00,344.0
2021-01-13 07:00:00,361.0
2021-01-13 08:00:00,353.0
2021-01-13 09:00:00,348.0
2021-01-13 10:00:00,346.0
2021-01-13 11:00:00,345.0
2021-01-13 12:00:00,342.0
2021-01-13 13:00:00,343.0
2021-01-13 14:00:00,343.0
2021-01-13 15:00:00,344.0
2021-01-13 16:00:00,345.0
2021-01-13 17:00:00,344.0
2021-01-13 18:00:00,341.0
2021-01-13 19:00:00,346.0
2021-01-13 20:00:00,346.0
2021-01-13 21:00:00,342.0
2021-01-13 22:00:00,325.0
2021-01-13 23:00:00,307.0
2021-01-14 00:00:00,297.0
2021-01-14 01:00:00,292.0
2021-01-14 02:00:00,277.0
2021-01-14 03:00:00,262.0
2021-01-14 04:00:00,241.0
2021-01-14 05:00:00,255.0
2021-01-14 06:00:00,269.0
2021-01-14 07:00:00,292.0
2021-01-14 08:00:00,308.0
2021-01-14 09:00:00,312.0
2021-01-14 10:00:00,308.0
2021-01-14 11:00:00,307.0
2021-01-14 12:00:00,312.0
2021-01-14 13:00:00,316.0
2021-01-14 14:00:00,318.0
2021-01-14 15:00:00,315.0
2021-01-14 16:00:00,318.0
2021-01-14 17:00:00,321.0
2021-01-14 18:00:00,325.0
2021-01-14 19:00:00,334.0
2021-01-14 20:00:00,347.0
2021-01-14 21:00:00,346.0
2021-01-14 22:00:00,338.0
2021-01-14 23:00:00,318.0
2021-01-15 00:00:00,317.0
2021-01-15 01:00:00,322.0
2021-01-15 02:00:00,317.0
2021-01-15 03:00:00,322.0
2021-01-15 04:00:00,319.0
2021-01-15 05:00:00,335.0
2021-01-15 06:00:00,370.0
2021-01-15 07:00:00,378.0
2021-01-15 08:00:00,369.0
2021-01-15 09:00:00,361.0
2021-01-15 10:00:00,354.0
2021-01-15 11:00:00,351.0
2021-01-15 12:00:00,342.0
2021-01-15 13:00:00,331.0
2021-01-15 14:00:00,331.0
2021-01-15 15:00:00,332.0
2021-01-15 16:00:00,322.0
2021-01-15 17:00:00,320.0
2021-01-15 18:00:00,312.0
2021-01-15 19:00:00,306.0
2021-01-15 20:00:00,293.0
2021-01-15 21:00:00,273.0
2021-01-15 22:00:00,243.0
2021-01-15 23:00:00,204.0
2021-01-16 00:00:00,181.0
2021-01-16 01:00:00,164.0
2021-01-16 02:00:00,140.0
2021-01-16 03:00:00,130.0
2021-01-16 04:00:00,127.0
2021-01-16 05:00:00,127.0
2021-01-16 06:00:00,123.0
2021-01-16 07:00:00,130.0
2021-01-16 08:00:00,140.0
2021-01-16 09:00:00,155.0
2021-01-16 10:00:00,171.0
2021-01-16 11:00:00,171.0
2021-01-16 12:00:00,169.0
2021-01-16 13:00:00,180.0
2021-01-16 14:00:00,200.0
2021-01-16 15:00:00,226.0
2021-01-16 16:00:00,237.0
2021-01-16 17:00:00,248.0
2021-01-16 18:00:00,245.0
2021-01-16 19:00:00,237.0
2021-01-16 20:00:00,206.0
2021-01-16 21:00:00,173.0
2021-01-16 22:00:00,152.0
2021-01-16 23:00:00,126.0
2021-01-17 00:00:00,116.0
2021-01-17 01:00:00,119.0
2021-01-17 02:00:00,109.0
2021-01-17 03:00:00,107.0
2021-01-17 04:00:00,103.0
2021-01-17 05:00:00,106.0
2021-01-17 06:00:00,117.0
2021-01-17 07:00:00,144.0
2021-01-17 08:00:00,157.0
2021-01-17 09:00:00,164.0
2021-01-17 10:00:00,183.0
2021-01-17 11:00:00,207.0
2021-01-17 12:00:00,228.0
2021-01-17 13:00:00,237.0
2021-01-17 14:00:00,248.0
2021-01-17 15:00:00,261.0
2021-01-17 16:00:00,267.0
2021-01-17 17:00:00,268.0
2021-01-17 18:00:00,262.0
2021-01-17 19:00:00,252.0
2021-01-17 20:00:00,231.0
2021-01-17 21:00:00,201.0
2021-01-17 22:00:00,171.0
2021-01-17 23:00:00,148.0
2021-01-18 00:00:00,147.0
2021-01-18 01:00:00,145.0
2021-01-18 02:00:00,138.0
2021-01-18 03:00:00,134.0
2021-01-18 04:00:00,137.0
2021-01-18 05:00:00,145.0
2021-01-18 06:00:00,174.0
2021-01-18 07:00:00,217.0
2021-01-18 08:00:00,244.0
2021-01-18 09:00:00,256.0
2021-01-18 10:00:00,258.0
2021-01-18 11:00:00,252.0
2021-01-18 12:00:00,254.0
2021-01-18 13:00:00,251.0
2021-01-18 14:00:00,254.0
2021-01-18 15:00:00,270.0
2021-01-18 16:00:00,275.0
2021-01-18 17:00:00,276.0
2021-01-18 18:00:00,277.0
2021-01-18 19:00:00,276.0
2021-01-18 20:00:00,265.0
2021-01-18 21:00:00,239.0
2021-01-18 22:00:00,211.0
2021-01-18 23:00:00,171.0
2021-01-19 00:00:00,159.0
2021-01-19 01:00:00,159.0
2021-01-19 02:00:00,158.0
2021-01-19 03:00:00,151.0
2021-01-19 04:00:00,152.0
2021-01-19 05:00:00,164.0
2021-01-19 06:00:00,197.0
2021-01-19 07:00:00,244.0
2021-01-19 08:00:00,276.0
2021-01-19 09:00:00,277.0
2021-01-19 10:00:00,276.0
2021-01-19 11:00:00,274.0
2021-01-19 12:00:00,259.0
2021-01-19 13:00:00,270.0
2021-01-19 14:00:00,277.0
2021-01-19 15:00:00,270.0
2021-01-19 16:00:00,265.0
2021-01-19 17:00:00,268.0
2021-01-19 18:00:00,266.0
2021-01-19 19:00:00,262.0
2021-01-19 20:00:00,240.0
2021-01-19 21:00:00,208.0
2021-01-19 22:00:00,180.0
2021-01-19 23:00:00,151.0
2021-01-20 00:00:00,145.0
2021-01-20 01:00:00,151.0
2021-01-20 02:00:00,151.0
2021-01-20 03:00:00,151.0
2021-01-20 04:00:00,153.0
2021-01-20 05:00:00,162.0
2021-01-20 06:00:00,192.0
2021-01-20 07:00:00,231.0
2021-01-20 08:00:00,264.0
2021-01-20 09:00:00,281.0
2021-01-20 10:00:00,284.0
2021-01-20 11:00:00,280.0
2021-01-20 12:00:00,280.0
2021-01-20 13:00:00,282.0
2021-01-20 14:00:00,284.0
2021-01-20 15:00:00,285.0
2021-01-20 16:00:00,285.0
2021-01-20 17:00:00,282.0
2021-01-20 18:00:00,277.0
2021-01-20 19:00:00,274.0
2021-01-20 20:00:00,260.0
2021-01-20 21:00:00,227.0
2021-01-20 22:00:00,187.0
2021-01-20 23:00:00,162.0
2021-01-21 00:00:00,145.0
2021-01-21 01:00:00,134.0
2021-01-21 02:00:00,120.0
2021-01-21 03:00:00,117.0
2021-01-21 04:00:00,111.0
2021-01-21 05:00:00,109.0
2021-01-21 06:00:00,124.0
2021-01-21 07:00:00,154.0
2021-01-21 08:00:00,175.0
2021-01-21 09:00:00,176.0
2021-01-21 10:00:00,163.0
2021-01-21 11:00:00,164.0
2021-01-21 12:00:00,177.0
2021-01-21 13:00:00,178.0
2021-01-21 14:00:00,184.0
2021-01-21 15:00:00,207.0
2021-01-21 16:00:00,225.0
2021-01-21 17:00:00,240.0
2021-01-21 18:00:00,248.0
2021-01-21 19:00:00,252.0
2021-01-21 20:00:00,242.0
2021-01-21 21:00:00,207.0
2021-01-21 22:00:00,170.0
2021-01-21 23:00:00,136.0
2021-01-22 00:00:00,117.0
2021-01-22 01:00:00,116.0
2021-01-22 02:00:00,113.0
2021-01-22 03:00:00,113.0
2021-01-22 04:00:00,116.0
2021-01-22 05:00:00,130.0
2021-01-22 06:00:00,167.0
2021-01-22 07:00:00,214.0
2021-01-22 08:00:00,249.0
2021-01-22 09:00:00,254.0
2021-01-22 10:00:00,257.0
2021-01-22 11:00:00,258.0
2021-01-22 12:00:00,258.0
2021-01-22 13:00:00,267.0
2021-01-22 14:00:00,285.0
2021-01-22 15:00:00,306.0
2021-01-22 16:00:00,317.0
2021-01-22 17:00:00,316.0
2021-01-22 18:00:00,317.0
2021-01-22 19:00:00,321.0
2021-01-22 20:00:00,320.0
2021-01-22 21:00:00,312.0
2021-01-22 22:00:00,303.0
2021-01-22 23:00:00,283.0
2021-01-23 00:00:00,283.0
2021-01-23 01:00:00,281.0
2021-01-23 02:00:00,277.0
2021-01-23 03:00:00,274.0
2021-01-23 04:00:00,269.0
2021-01-23 05:00:00,271.0
2021-01-23 06:00:00,286.0
2021-01-23 07:00:00,291.0
