Time,Carbon Intensity
2021-01-12 00:00:00,690.0
2021-01-12 01:00:00,694.0
2021-01-12 02:00:00,691.0
2021-01-12 03:00:00,697.0
2021-01-12 04:00:00,704.0
2021-01-12 05:00:00,727.0
2021-01-12 06:00:00,765.0
2021-01-12 07:00:00,778.0
2021-01-12 08:00:00,768.0
2021-01-12 09:00:00,780.0
2021-01-12 10:00:00,801.0
2021-01-12 11:00:00,827.0
2021-01-12 12:00:00,847.0
2021-01-12 13:00:00,858.0
2021-01-12 14:00:00,868.0
2021-01-12 15:00:00,856.0
2021-01-12 16:00:00,848.0
2021-01-12 17:00:00,858.0
2021-01-12 18:00:00,869.0
2021-01-12 19:00:00,862.0
2021-01-12 20:00:00,855.0
2021-01-12 21:00:00,844.0
2021-01-12 22:00:00,835.0
2021-01-12 23:00:00,841.0
2021-01-13 00:00:00,825.0
2021-01-13 01:00:00,815.0
2021-01-13 02:00:00,816.0
2021-01-13 03:00:00,822.0
2021-01-13 04:00:00,819.0
2021-01-13 05:00:00,830.0
2021-01-13 06:00:00,856.0
2021-01-13 07:00:00,866.0
2021-01-13 08:00:00,849.0
2021-01-13 09:00:00,840.0
2021-01-13 10:00:00,846.0
2021-01-13 11:00:00,846.0
2021-01-13 12:00:00,855.0
2021-01-13 13:00:00,876.0
2021-01-13 14:00:00,874.0
2021-01-13 15:00:00,870.0
2021-01-13 16:00:00,862.0
2021-01-13 17:00:00,850.0
2021-01-13 18:00:00,840.0
2021-01-13 19:00:00,850.0
2021-01-13 20:00:00,853.0
2021-01-13 21:00:00,863.0
2021-01-13 22:00:00,864.0
2021-01-13 23:00:00,849.0
2021-01-14 00:00:00,864.0
2021-01-14 01:00:00,876.0
2021-01-14 02:00:00,872.0
2021-01-14 03:00:00,880.0
2021-01-14 04:00:00,892.0
2021-01-14 05:00:00,917.0
2021-01-14 06:00:00,936.0
2021-01-14 07:00:00,934.0
2021-01-14 08:00:00,916.0
2021-01-14 09:00:00,915.0
2021-01-14 10:00:00,918.0
2021-01-14 11:00:00,918.0
2021-01-14 12:00:00,919.0
2021-01-14 13:00:00,938.0
2021-01-14 14:00:00,947.0
2021-01-14 15:00:00,952.0
2021-01-14 16:00:00,946.0
2021-01-14 17:00:00,938.0
2021-01-14 18:00:00,922.0
2021-01-14 19:00:00,926.0
2021-01-14 20:00:00,916.0
2021-01-14 21:00:00,915.0
2021-01-14 22:00:00,934.0
2021-01-14 23:00:00,936.0
2021-01-15 00:00:00,951.0
2021-01-15 01:00:00,961.0
2021-01-15 02:00:00,959.0
2021-01-15 03:00:00,936.0
2021-01-15 04:00:00,932.0
2021-01-15 05:00:00,943.0
2021-01-15 06:00:00,949.0
2021-01-15 07:00:00,945.0
2021-01-15 08:00:00,924.0
2021-01-15 09:00:00,916.0
2021-01-15 10:00:00,923.0
2021-01-15 11:00:00,918.0
2021-01-15 12:00:00,912.0
2021-01-15 13:00:00,929.0
2021-01-15 14:00:00,939.0
2021-01-15 15:00:00,931.0
2021-01-15 16:00:00,928.0
2021-01-15 17:00:00,934.0
2021-01-15 18:00:00,934.0
2021-01-15 19:00:00,931.0
2021-01-15 20:00:00,935.0
2021-01-15 21:00:00,923.0
2021-01-15 22:00:00,927.0
2021-01-15 23:00:00,930.0
2021-01-16 00:00:00,929.0
2021-01-16 01:00:00,914.0
2021-01-16 02:00:00,909.0
2021-01-16 03:00:00,900.0
2021-01-16 04:00:00,889.0
2021-01-16 05:00:00,887.0
2021-01-16 06:00:00,905.0
2021-01-16 07:00:00,895.0
2021-01-16 08:00:00,875.0
2021-01-16 09:00:00,839.0
2021-01-16 10:00:00,826.0
2021-01-16 11:00:00,821.0
2021-01-16 12:00:00,811.0
2021-01-16 13:00:00,808.0
2021-01-16 14:00:00,816.0
2021-01-16 15:00:00,807.0
2021-01-16 16:00:00,818.0
2021-01-16 17:00:00,830.0
2021-01-16 18:00:00,843.0
2021-01-16 19:00:00,827.0
2021-01-16 20:00:00,868.0
2021-01-16 21:00:00,889.0
2021-01-16 22:00:00,901.0
2021-01-16 23:00:00,916.0
2021-01-17 00:00:00,921.0
2021-01-17 01:00:00,918.0
2021-01-17 02:00:00,941.0
2021-01-17 03:00:00,951.0
2021-01-17 04:00:00,961.0
2021-01-17 05:00:00,974.0
2021-01-17 06:00:00,979.0
2021-01-17 07:00:00,949.0
2021-01-17 08:00:00,956.0
2021-01-17 09:00:00,941.0
2021-01-17 10:00:00,946.0
2021-01-17 11:00:00,936.0
2021-01-17 12:00:00,945.0
2021-01-17 13:00:00,966.0
2021-01-17 14:00:00,974.0
2021-01-17 15:00:00,968.0
2021-01-17 16:00:00,959.0
2021-01-17 17:00:00,955.0
2021-01-17 18:00:00,952.0
2021-01-17 19:00:00,931.0
2021-01-17 20:00:00,929.0
2021-01-17 21:00:00,929.0
2021-01-17 22:00:00,930.0
2021-01-17 23:00:00,942.0
2021-01-18 00:00:00,943.0
2021-01-18 01:00:00,955.0
2021-01-18 02:00:00,950.0
2021-01-18 03:00:00,955.0
2021-01-18 04:00:00,942.0
2021-01-18 05:00:00,951.0
2021-01-18 06:00:00,968.0
2021-01-18 07:00:00,972.0
2021-01-18 08:00:00,951.0
2021-01-18 09:00:00,938.0
2021-01-18 10:00:00,931.0
2021-01-18 11:00:00,942.0
2021-01-18 12:00:00,949.0
2021-01-18 13:00:00,961.0
2021-01-18 14:00:00,961.0
2021-01-18 15:00:00,930.0
2021-01-18 16:00:00,907.0
2021-01-18 17:00:00,892.0
2021-01-18 18:00:00,873.0
2021-01-18 19:00:00,855.0
2021-01-18 20:00:00,858.0
2021-01-18 21:00:00,861.0
2021-01-18 22:00:00,858.0
2021-01-18 23:00:00,869.0
2021-01-19 00:00:00,868.0
2021-01-19 01:00:00,865.0
2021-01-19 02:00:00,871.0
