setup,seed,scheduler,carbon_g,cold_rate,warm_idle_g
Synthetic 5-region,42,FIFO,51.00971357624054,0.0006814782302356875,3.2819953360671517
Synthetic 5-region,42,Wait-Awhile,206.56257456937462,0.02017868590206349,153.89812938912834
Synthetic 5-region,42,Lechowicz,172.33811993863907,0.02375355899118121,121.1713399347683
Synthetic 5-region,42,Spatial,13.983474798322792,0.00030031244044284534,0.7053355864731496
Synthetic 5-region,42,GreenFaaS,14.587697056940675,0.0005082210530571229,1.2796254985029134
Synthetic 5-region,43,FIFO,51.882294685146526,0.0006968924404592521,3.6528070255257137
Synthetic 5-region,43,Wait-Awhile,208.1254944247996,0.02011115434425325,154.91128625986008
Synthetic 5-region,43,Lechowicz,173.734580429301,0.023682728101606917,122.01601292892762
Synthetic 5-region,43,Spatial,14.03273316042089,0.00030779416120283636,0.7277756193323635
Synthetic 5-region,43,GreenFaaS,14.42518088363191,0.0004297503382832055,1.0908098202564755
Synthetic 5-region,44,FIFO,51.89597582852724,0.0006607776309383042,3.3676801995885617
Synthetic 5-region,44,Wait-Awhile,212.28737605483025,0.020397162133963972,158.6237740669764
Synthetic 5-region,44,Lechowicz,175.1564742552749,0.023816976188820106,123.05489702737204
Synthetic 5-region,44,Spatial,13.862121626866081,0.0003014073404279984,0.6436093994880621
Synthetic 5-region,44,GreenFaaS,14.483921938285617,0.0004926850756996128,1.2224396183154196
Synthetic 5-region,45,FIFO,51.624232811396496,0.0007148210065140946,3.4262098812325283
Synthetic 5-region,45,Wait-Awhile,209.17558326022368,0.02043581022655214,155.92109729309175
Synthetic 5-region,45,Lechowicz,174.6136546888938,0.024113679598777887,122.8936827428998
Synthetic 5-region,45,Spatial,13.965848799490928,0.00028823427682019947,0.6370741564239981
Synthetic 5-region,45,GreenFaaS,14.596538471253378,0.0004842335850579351,1.230920528550784
Synthetic 5-region,46,FIFO,51.45223383691493,0.0006828624668695964,3.116720051081937
Synthetic 5-region,46,Wait-Awhile,212.13235071216914,0.020381708545039987,158.6083004454877
Synthetic 5-region,46,Lechowicz,176.74809173619045,0.024027499681716646,124.77621219455092
Synthetic 5-region,46,Spatial,14.012591024714135,0.00030092244302727975,0.6926266524752105
Synthetic 5-region,46,GreenFaaS,14.514838584209722,0.00046874457471557043,1.1590434604192086
