setup,scheduler,carbon_mean_g,carbon_std_g,reduction_mean_pct,reduction_std_pct,n_seeds
Synthetic 5-region,FIFO,51.57289014764515,0.36553980290682614,0.0,0.0,5
Synthetic 5-region,Wait-Awhile,209.65667580427944,2.5099292302002336,-306.5277573165484,4.2675527452691675,5
Synthetic 5-region,Spatial,13.971353881962965,0.06628881102092647,72.9081930879361,0.26072079647158175,5
Synthetic 5-region,GreenFaaS-v1,14.731491126309635,0.13237176087281724,71.43375089483182,0.39582815918939973,5
Synthetic 5-region,GreenFaaS,14.52163538686426,0.07201837999446145,71.84080380427238,0.31508216778598036,5
Real LWA 4-region,FIFO,33.335284102713224,0.23959686174231623,0.0,0.0,5
Real LWA 4-region,Wait-Awhile,92.07578527577601,0.3639354136877788,-176.22425130565807,2.499731327382532,5
Real LWA 4-region,Spatial,11.627067094937466,0.013685487507521233,65.11954136980171,0.22834928987336423,5
Real LWA 4-region,GreenFaaS-v1,14.403315021997848,0.16999465829732852,56.79116972123689,0.5614553591161153,5
Real LWA 4-region,GreenFaaS,11.788992665200638,0.027237191530757366,64.63376432428288,0.243968626922384,5
Real coal-belt (DE/GB/PL),FIFO,67.35014186947122,0.2947331910338811,0.0,0.0,5
Real coal-belt (DE/GB/PL),Wait-Awhile,265.4955862595008,4.57907301251812,-294.19265426348613,5.846671836791939,5
Real coal-belt (DE/GB/PL),Spatial,38.05883713012589,0.10714800992711858,43.490428191988656,0.23701175978225156,5
Real coal-belt (DE/GB/PL),GreenFaaS-v1,46.132741474766355,6.450885335513118,31.483686037369143,9.754548207965193,5
Real coal-belt (DE/GB/PL),GreenFaaS,39.11780792907309,0.23801690069866843,41.91735585001975,0.5119782293538545,5
