HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
c23b04376dfd3a1a9f5a65d99ad7eee9c263f451adfd52f57bbfa04e78b41fdc,52f5c529c5caea81996009b9ff5aff737e379dfa1bc8ad779a0ee4b66a9b04ea,57e853e8e2608a075376fed19ec17503aeb467dbe2bb63ab0b52c9ba96644ac8,2500.000,6000,413.247,15124.119,413.247,752.986,1642.617,2500.000,3804.904,8300.292,15124.119
c23b04376dfd3a1a9f5a65d99ad7eee9c263f451adfd52f57bbfa04e78b41fdc,5eb7e725e6bac43f2a906437aa7be080081de786a7d12f7b9649be47b69d6ca0,e281a16e1a3091633514a0b1a1f2ebb381d82ff5b5001096419a81ae1d2f0718,60000.000,2612,9917.933,362978.848,9917.933,18071.653,39422.809,60000.000,91317.693,199207.015,362978.848
c23b04376dfd3a1a9f5a65d99ad7eee9c263f451adfd52f57bbfa04e78b41fdc,80d6ae0197c2a3be4ec46d171996105891dedf626ea3040f2dd2bf00e63c436e,d89472df5b645f2d3f235a443de348d42e122abe4a6c850f7e350fc125653a7f,15000.000,1605,2479.483,90744.712,2479.483,4517.913,9855.702,15000.000,22829.423,49801.754,90744.712
c23b04376dfd3a1a9f5a65d99ad7eee9c263f451adfd52f57bbfa04e78b41fdc,fb360aa6c10bdacc64dc45f60dd5e639aa9f4fa51d6e6fffaf1ffdc254dfd5e3,f96cd603bba88387470bc24727c2fdeb09f5e340c01120314d85a324ff887f62,100.000,1137,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
c23b04376dfd3a1a9f5a65d99ad7eee9c263f451adfd52f57bbfa04e78b41fdc,5a333e95bb0d7f29e932fcc0fe5295a0ac2b34f1de90a7306f4f1b5f35eb5d43,eb8cd8f9885756410bf320e82e9cd612b633e6be4f4a32b488d0a2f5cb76471a,50.000,870,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
391887cbcf922e19d672df700739c4a3c74e35ee3d57e7ad97506cd331cd953c,83e55fecbd62d4b29b85424aeff93c50d6e51c524a36cb21b7de428f78b36bd3,764886d1219e006b2fc6a416e8e1aae78c5d7c3c6093344f6b0c9551c656996c,800.000,699,132.239,4839.718,132.239,240.955,525.637,800.000,1217.569,2656.094,4839.718
391887cbcf922e19d672df700739c4a3c74e35ee3d57e7ad97506cd331cd953c,a0dfadeb8f6b7f37e3f517f6e6c66da28eb890f41e61f8c249c74e86ca2080e5,77061544a4a04b30c31dc43f014123459d0ffcbc4b3df5a67b93e7507753c71a,5000.000,581,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
391887cbcf922e19d672df700739c4a3c74e35ee3d57e7ad97506cd331cd953c,ed9b47b0544cb11380b4158cc90ac2073847e2343fabffffd7e0203d24f1ca33,a6e71e4262b716e2d2f22459df4e3d629ac8397acc622080f83ae0d480bea171,1200.000,495,198.359,7259.577,198.359,361.433,788.456,1200.000,1826.354,3984.140,7259.577
391887cbcf922e19d672df700739c4a3c74e35ee3d57e7ad97506cd331cd953c,90655d3abf99ecd18f73c01db97fd6e0f311c56429e4266185ee3a6974632205,a3904a3e5fda9fb3a341360a5d1a199d6261e1c32a9b93d387845197ed635132,400.000,430,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
391887cbcf922e19d672df700739c4a3c74e35ee3d57e7ad97506cd331cd953c,1a1f247c2c39fb51d2ce4f95765a09ee38286271a8725a499825802b1ba2968f,f15d0fbf3beb8444ca73fe4cab07070ae400596a45bb1238af20d4dc5909758c,500.000,379,82.649,3024.824,82.649,150.597,328.523,500.000,760.981,1660.058,3024.824
15321b2a448f1eb660bbe224ec373b7b533c4159163e35b2685a988847d88846,2355497977cdac52878d2477bcc6a1f521d66adae9ea377a849ac25177a77795,acb516643b7e76d5a5ff006eb39b5d08ed78aae47fc501489c864ac9b960a7eb,5000.000,338,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
15321b2a448f1eb660bbe224ec373b7b533c4159163e35b2685a988847d88846,1b9f3a3b613fbfbc08fd76e7f8dc7e44e83a11d00c3a0b75a5224b1ae3b39bcd,40ce9b6adf3e4e993e89caf9e14beed8cb63b06304bb30e85cfb3ba71515375d,1500.000,304,247.948,9074.471,247.948,451.791,985.570,1500.000,2282.942,4980.175,9074.471
15321b2a448f1eb660bbe224ec373b7b533c4159163e35b2685a988847d88846,c0615b97d43192cd2e91126369e85fe96b4c0da8e9b03c86236acaf27101320f,51b4b5f417fa19a71f7a75a6936fbb9acfbd8ea5a34cfda838885e6b8ff7fd80,1500.000,276,247.948,9074.471,247.948,451.791,985.570,1500.000,2282.942,4980.175,9074.471
15321b2a448f1eb660bbe224ec373b7b533c4159163e35b2685a988847d88846,ab6bdfd38511fdb0a5c0fecb12e08aeb99a891122ff563be1b38b398547c3f4c,98b8a0c11df9930c98b76e5712603ecf52875cab68422ad5d8a32d8620d48495,15000.000,253,2479.483,90744.712,2479.483,4517.913,9855.702,15000.000,22829.423,49801.754,90744.712
15321b2a448f1eb660bbe224ec373b7b533c4159163e35b2685a988847d88846,5e74958e3bc8a0ea770253445e4feb4bc9a752c61ffb8deaf5c3b3748d5a08cb,6c7495e662129e93b612487412413a967980f1801052fc5dd6b530d48787b0f1,50.000,233,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
a4cbb901fc0b3b2ae26cf7fc540bc2ad5f4dd1102f6bb1fc31545fa813d8456d,18fdb47892be21733350aa2c3321de64bc2dd021a37661963fb1feeda5645dd5,8ac6dde1c52d334af84fc6a94d3671bdcc8a28f76ac3f7e8e9cdacb8d6679ba6,500.000,215,82.649,3024.824,82.649,150.597,328.523,500.000,760.981,1660.058,3024.824
a4cbb901fc0b3b2ae26cf7fc540bc2ad5f4dd1102f6bb1fc31545fa813d8456d,b39a5fa4a2b47c51ae8055d37f641c2be096d8ce9ab31e1c855e1da428ed525a,efa7a44724d0746198aa18f64b2ea394fd0123192019ee8e89fefa2f96d06744,800.000,200,132.239,4839.718,132.239,240.955,525.637,800.000,1217.569,2656.094,4839.718
a4cbb901fc0b3b2ae26cf7fc540bc2ad5f4dd1102f6bb1fc31545fa813d8456d,78a2b3f2aa10b660d1a7fcebebcc05621f314c9a4183f67356a3f30e41dffeba,0da00cea27c2ccc85012c6c2dcacf50dee5a57ea98657b19473f61e87eff022d,200.000,187,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
a4cbb901fc0b3b2ae26cf7fc540bc2ad5f4dd1102f6bb1fc31545fa813d8456d,e1df219469af20757440398818a3e6ef25b5560a1beaba0bdbaa4ac333faad8a,f43ff2ab96fb2a18516ef8041873ae1fa6538e91d524e1c06231fd34f20a1974,2500.000,175,413.247,15124.119,413.247,752.986,1642.617,2500.000,3804.904,8300.292,15124.119
a4cbb901fc0b3b2ae26cf7fc540bc2ad5f4dd1102f6bb1fc31545fa813d8456d,0006a9b7aaf75ce01dc4d77e90184dff978ee05931808d4ed526443cea41dce7,e1dac50aae6392aeb84ebb4f2afdc3b1210926421e37d0d078b595f667cf1722,200.000,165,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
c5405cb2a3052c010586b6f67c0ff0dceaf10e6c4409966ae7970a030a03ce84,69fbaca8dd791997f845997defe94439567c6b32eb66e703f707ed7e24ab3b6c,bc639c846975b7d71f9f019229a7d226a97cdc0e516d18c6decf37771787423e,5000.000,155,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
