timestamp,gco2_per_kwh
2020-01-01T00:00:00,299.07
2020-01-01T01:00:00,280.76
2020-01-01T02:00:00,225.01
2020-01-01T03:00:00,212.93
2020-01-01T04:00:00,169.95
2020-01-01T05:00:00,141.38
2020-01-01T06:00:00,126.96
2020-01-01T07:00:00,123.99
2020-01-01T08:00:00,89.69
2020-01-01T09:00:00,116.26
2020-01-01T10:00:00,114.70
2020-01-01T11:00:00,150.84
2020-01-01T12:00:00,168.43
2020-01-01T13:00:00,229.41
2020-01-01T14:00:00,246.25
2020-01-01T15:00:00,288.50
2020-01-01T16:00:00,318.40
2020-01-01T17:00:00,367.48
2020-01-01T18:00:00,376.71
2020-01-01T19:00:00,359.14
2020-01-01T20:00:00,378.23
2020-01-01T21:00:00,389.35
2020-01-01T22:00:00,379.37
2020-01-01T23:00:00,330.40
2020-01-02T00:00:00,321.64
2020-01-02T01:00:00,291.27
2020-01-02T02:00:00,240.88
2020-01-02T03:00:00,204.44
2020-01-02T04:00:00,181.32
2020-01-02T05:00:00,181.50
2020-01-02T06:00:00,141.00
2020-01-02T07:00:00,120.99
2020-01-02T08:00:00,111.86
2020-01-02T09:00:00,115.45
2020-01-02T10:00:00,156.39
2020-01-02T11:00:00,177.21
2020-01-02T12:00:00,160.49
2020-01-02T13:00:00,230.35
2020-01-02T14:00:00,249.87
2020-01-02T15:00:00,285.94
2020-01-02T16:00:00,335.33
2020-01-02T17:00:00,340.05
2020-01-02T18:00:00,363.64
2020-01-02T19:00:00,393.34
2020-01-02T20:00:00,361.00
2020-01-02T21:00:00,369.50
2020-01-02T22:00:00,363.12
2020-01-02T23:00:00,367.67
2020-01-03T00:00:00,321.25
2020-01-03T01:00:00,282.82
2020-01-03T02:00:00,238.04
2020-01-03T03:00:00,228.53
2020-01-03T04:00:00,178.70
2020-01-03T05:00:00,163.70
2020-01-03T06:00:00,116.19
2020-01-03T07:00:00,131.99
2020-01-03T08:00:00,118.58
2020-01-03T09:00:00,130.76
2020-01-03T10:00:00,134.07
2020-01-03T11:00:00,157.33
2020-01-03T12:00:00,163.40
2020-01-03T13:00:00,202.39
2020-01-03T14:00:00,241.54
2020-01-03T15:00:00,304.15
2020-01-03T16:00:00,333.14
2020-01-03T17:00:00,325.93
2020-01-03T18:00:00,360.49
2020-01-03T19:00:00,385.32
2020-01-03T20:00:00,392.81
2020-01-03T21:00:00,386.01
2020-01-03T22:00:00,360.96
2020-01-03T23:00:00,357.69
2020-01-04T00:00:00,309.47
2020-01-04T01:00:00,279.21
2020-01-04T02:00:00,263.11
2020-01-04T03:00:00,229.17
2020-01-04T04:00:00,197.46
2020-01-04T05:00:00,149.42
2020-01-04T06:00:00,119.69
2020-01-04T07:00:00,116.54
2020-01-04T08:00:00,123.08
2020-01-04T09:00:00,136.35
2020-01-04T10:00:00,130.82
2020-01-04T11:00:00,154.68
2020-01-04T12:00:00,197.99
2020-01-04T13:00:00,221.08
2020-01-04T14:00:00,243.77
