timestamp,gco2_per_kwh
2020-01-01T00:00:00,394.87
2020-01-01T01:00:00,397.12
2020-01-01T02:00:00,337.18
2020-01-01T03:00:00,306.55
2020-01-01T04:00:00,282.09
2020-01-01T05:00:00,265.01
2020-01-01T06:00:00,235.83
2020-01-01T07:00:00,205.34
2020-01-01T08:00:00,207.94
2020-01-01T09:00:00,242.66
2020-01-01T10:00:00,201.62
2020-01-01T11:00:00,257.15
2020-01-01T12:00:00,284.91
2020-01-01T13:00:00,321.04
2020-01-01T14:00:00,329.20
2020-01-01T15:00:00,409.93
2020-01-01T16:00:00,421.99
2020-01-01T17:00:00,461.19
2020-01-01T18:00:00,458.95
2020-01-01T19:00:00,467.21
2020-01-01T20:00:00,456.68
2020-01-01T21:00:00,504.30
2020-01-01T22:00:00,468.72
2020-01-01T23:00:00,444.09
2020-01-02T00:00:00,444.68
2020-01-02T01:00:00,382.41
2020-01-02T02:00:00,372.77
2020-01-02T03:00:00,325.49
2020-01-02T04:00:00,272.18
2020-01-02T05:00:00,235.66
2020-01-02T06:00:00,225.23
2020-01-02T07:00:00,223.82
2020-01-02T08:00:00,207.53
2020-01-02T09:00:00,240.02
2020-01-02T10:00:00,223.52
2020-01-02T11:00:00,276.29
2020-01-02T12:00:00,286.26
2020-01-02T13:00:00,300.89
2020-01-02T14:00:00,335.31
2020-01-02T15:00:00,403.64
2020-01-02T16:00:00,418.48
2020-01-02T17:00:00,421.24
2020-01-02T18:00:00,474.99
2020-01-02T19:00:00,489.76
2020-01-02T20:00:00,475.40
2020-01-02T21:00:00,468.23
2020-01-02T22:00:00,494.59
2020-01-02T23:00:00,418.75
2020-01-03T00:00:00,426.58
2020-01-03T01:00:00,404.62
2020-01-03T02:00:00,337.13
2020-01-03T03:00:00,302.86
2020-01-03T04:00:00,289.77
2020-01-03T05:00:00,250.72
2020-01-03T06:00:00,231.22
2020-01-03T07:00:00,221.60
2020-01-03T08:00:00,221.17
2020-01-03T09:00:00,236.76
2020-01-03T10:00:00,238.95
2020-01-03T11:00:00,228.74
2020-01-03T12:00:00,275.34
2020-01-03T13:00:00,322.34
2020-01-03T14:00:00,315.74
2020-01-03T15:00:00,373.84
2020-01-03T16:00:00,424.98
2020-01-03T17:00:00,449.10
2020-01-03T18:00:00,482.18
2020-01-03T19:00:00,496.85
2020-01-03T20:00:00,508.33
2020-01-03T21:00:00,486.69
2020-01-03T22:00:00,476.06
2020-01-03T23:00:00,428.09
2020-01-04T00:00:00,421.57
2020-01-04T01:00:00,367.69
2020-01-04T02:00:00,334.60
2020-01-04T03:00:00,297.68
2020-01-04T04:00:00,269.34
2020-01-04T05:00:00,220.10
2020-01-04T06:00:00,258.01
2020-01-04T07:00:00,227.13
2020-01-04T08:00:00,187.63
2020-01-04T09:00:00,231.36
2020-01-04T10:00:00,207.76
2020-01-04T11:00:00,253.85
2020-01-04T12:00:00,270.75
2020-01-04T13:00:00,317.01
2020-01-04T14:00:00,318.62
2020-01-04T15:00:00,364.41
2020-01-04T16:00:00,420.55
2020-01-04T17:00:00,430.73
2020-01-04T18:00:00,480.12
2020-01-04T19:00:00,466.50
2020-01-04T20:00:00,484.55
2020-01-04T21:00:00,456.57
2020-01-04T22:00:00,482.41
2020-01-04T23:00:00,456.18
2020-01-05T00:00:00,431.09
2020-01-05T01:00:00,362.76
2020-01-05T02:00:00,361.44
2020-01-05T03:00:00,317.80
2020-01-05T04:00:00,291.16
2020-01-05T05:00:00,217.84
2020-01-05T06:00:00,227.08
2020-01-05T07:00:00,206.74
2020-01-05T08:00:00,220.88
2020-01-05T09:00:00,235.75
2020-01-05T10:00:00,240.70
2020-01-05T11:00:00,230.13
2020-01-05T12:00:00,271.98
2020-01-05T13:00:00,320.16
2020-01-05T14:00:00,367.68
2020-01-05T15:00:00,393.23
2020-01-05T16:00:00,416.65
2020-01-05T17:00:00,447.30
2020-01-05T18:00:00,444.92
2020-01-05T19:00:00,470.93
2020-01-05T20:00:00,467.59
2020-01-05T21:00:00,483.74
2020-01-05T22:00:00,467.28
2020-01-05T23:00:00,450.04
2020-01-06T00:00:00,411.56
2020-01-06T01:00:00,341.47
2020-01-06T02:00:00,345.53
2020-01-06T03:00:00,323.82
2020-01-06T04:00:00,295.54
2020-01-06T05:00:00,261.75
2020-01-06T06:00:00,191.40
2020-01-06T07:00:00,233.56
2020-01-06T08:00:00,212.72
2020-01-06T09:00:00,211.52
2020-01-06T10:00:00,261.11
2020-01-06T11:00:00,254.26
2020-01-06T12:00:00,242.32
2020-01-06T13:00:00,344.52
2020-01-06T14:00:00,358.12
2020-01-06T15:00:00,377.95
2020-01-06T16:00:00,416.10
2020-01-06T17:00:00,458.23
2020-01-06T18:00:00,475.12
2020-01-06T19:00:00,506.23
2020-01-06T20:00:00,450.73
2020-01-06T21:00:00,516.03
2020-01-06T22:00:00,464.78
2020-01-06T23:00:00,427.13
2020-01-07T00:00:00,406.44
2020-01-07T01:00:00,394.18
2020-01-07T02:00:00,337.76
2020-01-07T03:00:00,327.56
2020-01-07T04:00:00,300.89
2020-01-07T05:00:00,231.05
2020-01-07T06:00:00,219.27
2020-01-07T07:00:00,197.32
2020-01-07T08:00:00,232.00
2020-01-07T09:00:00,199.81
2020-01-07T10:00:00,191.43
2020-01-07T11:00:00,250.77
2020-01-07T12:00:00,290.02
2020-01-07T13:00:00,281.91
2020-01-07T14:00:00,353.93
2020-01-07T15:00:00,370.69
2020-01-07T16:00:00,385.60
2020-01-07T17:00:00,463.77
2020-01-07T18:00:00,488.95
2020-01-07T19:00:00,501.69
2020-01-07T20:00:00,499.25
2020-01-07T21:00:00,474.84
2020-01-07T22:00:00,460.06
2020-01-07T23:00:00,415.20
2020-01-08T00:00:00,391.15
2020-01-08T01:00:00,374.97
2020-01-08T02:00:00,347.38
2020-01-08T03:00:00,328.84
2020-01-08T04:00:00,288.44
2020-01-08T05:00:00,253.63
2020-01-08T06:00:00,201.93
2020-01-08T07:00:00,234.09
2020-01-08T08:00:00,228.32
2020-01-08T09:00:00,216.26
2020-01-08T10:00:00,196.75
2020-01-08T11:00:00,238.07
2020-01-08T12:00:00,291.82
2020-01-08T13:00:00,325.56
2020-01-08T14:00:00,365.62
2020-01-08T15:00:00,397.90
2020-01-08T16:00:00,402.49
2020-01-08T17:00:00,474.06
2020-01-08T18:00:00,477.18
2020-01-08T19:00:00,489.49
2020-01-08T20:00:00,498.87
2020-01-08T21:00:00,473.66
2020-01-08T22:00:00,447.91
2020-01-08T23:00:00,460.37
2020-01-09T00:00:00,423.79
2020-01-09T01:00:00,389.54
2020-01-09T02:00:00,345.17
2020-01-09T03:00:00,317.19
2020-01-09T04:00:00,306.09
2020-01-09T05:00:00,222.65
2020-01-09T06:00:00,222.64
2020-01-09T07:00:00,238.45
2020-01-09T08:00:00,189.79
2020-01-09T09:00:00,203.12
2020-01-09T10:00:00,242.01
2020-01-09T11:00:00,263.76
2020-01-09T12:00:00,311.39
2020-01-09T13:00:00,318.43
2020-01-09T14:00:00,362.87
2020-01-09T15:00:00,420.39
2020-01-09T16:00:00,396.35
2020-01-09T17:00:00,475.54
2020-01-09T18:00:00,461.89
2020-01-09T19:00:00,501.10
2020-01-09T20:00:00,485.69
2020-01-09T21:00:00,439.91
2020-01-09T22:00:00,495.34
2020-01-09T23:00:00,461.63
2020-01-10T00:00:00,429.58
2020-01-10T01:00:00,397.43
2020-01-10T02:00:00,325.85
2020-01-10T03:00:00,314.63
2020-01-10T04:00:00,282.22
2020-01-10T05:00:00,256.56
2020-01-10T06:00:00,226.85
2020-01-10T07:00:00,228.72
2020-01-10T08:00:00,211.42
2020-01-10T09:00:00,235.43
2020-01-10T10:00:00,233.31
2020-01-10T11:00:00,294.91
2020-01-10T12:00:00,293.17
2020-01-10T13:00:00,343.26
2020-01-10T14:00:00,348.43
2020-01-10T15:00:00,402.49
2020-01-10T16:00:00,437.78
2020-01-10T17:00:00,475.30
2020-01-10T18:00:00,482.33
2020-01-10T19:00:00,481.89
2020-01-10T20:00:00,517.43
2020-01-10T21:00:00,486.61
2020-01-10T22:00:00,458.90
2020-01-10T23:00:00,450.12
2020-01-11T00:00:00,421.80
2020-01-11T01:00:00,363.13
2020-01-11T02:00:00,329.05
2020-01-11T03:00:00,327.99
2020-01-11T04:00:00,298.89
2020-01-11T05:00:00,241.74
2020-01-11T06:00:00,239.20
2020-01-11T07:00:00,243.01
