timestamp,gco2_per_kwh
2020-01-01T00:00:00,63.96
2020-01-01T01:00:00,57.52
2020-01-01T02:00:00,61.36
2020-01-01T03:00:00,59.45
2020-01-01T04:00:00,56.06
2020-01-01T05:00:00,50.93
2020-01-01T06:00:00,52.82
2020-01-01T07:00:00,51.78
2020-01-01T08:00:00,50.18
2020-01-01T09:00:00,49.56
2020-01-01T10:00:00,57.87
2020-01-01T11:00:00,55.34
2020-01-01T12:00:00,56.60
2020-01-01T13:00:00,60.30
2020-01-01T14:00:00,57.51
2020-01-01T15:00:00,62.58
2020-01-01T16:00:00,66.40
2020-01-01T17:00:00,71.95
2020-01-01T18:00:00,71.55
2020-01-01T19:00:00,66.20
2020-01-01T20:00:00,71.29
2020-01-01T21:00:00,62.33
2020-01-01T22:00:00,66.59
2020-01-01T23:00:00,66.79
2020-01-02T00:00:00,69.16
2020-01-02T01:00:00,61.18
2020-01-02T02:00:00,65.19
2020-01-02T03:00:00,61.05
2020-01-02T04:00:00,54.64
2020-01-02T05:00:00,53.53
2020-01-02T06:00:00,55.26
2020-01-02T07:00:00,54.95
2020-01-02T08:00:00,47.15
2020-01-02T09:00:00,50.08
2020-01-02T10:00:00,54.78
2020-01-02T11:00:00,55.17
2020-01-02T12:00:00,53.99
2020-01-02T13:00:00,59.83
2020-01-02T14:00:00,64.35
2020-01-02T15:00:00,63.06
2020-01-02T16:00:00,67.86
2020-01-02T17:00:00,64.96
2020-01-02T18:00:00,69.51
2020-01-02T19:00:00,64.82
2020-01-02T20:00:00,68.97
2020-01-02T21:00:00,63.65
2020-01-02T22:00:00,68.82
2020-01-02T23:00:00,63.34
2020-01-03T00:00:00,67.18
2020-01-03T01:00:00,65.58
2020-01-03T02:00:00,62.08
2020-01-03T03:00:00,59.44
2020-01-03T04:00:00,55.45
2020-01-03T05:00:00,54.27
2020-01-03T06:00:00,53.09
2020-01-03T07:00:00,50.01
2020-01-03T08:00:00,50.77
2020-01-03T09:00:00,47.58
2020-01-03T10:00:00,53.99
2020-01-03T11:00:00,52.88
2020-01-03T12:00:00,53.66
2020-01-03T13:00:00,54.03
2020-01-03T14:00:00,58.65
2020-01-03T15:00:00,59.23
2020-01-03T16:00:00,58.56
2020-01-03T17:00:00,70.50
2020-01-03T18:00:00,67.17
2020-01-03T19:00:00,72.86
2020-01-03T20:00:00,63.40
2020-01-03T21:00:00,70.54
2020-01-03T22:00:00,73.27
2020-01-03T23:00:00,65.01
2020-01-04T00:00:00,64.88
2020-01-04T01:00:00,57.81
2020-01-04T02:00:00,64.92
2020-01-04T03:00:00,58.05
2020-01-04T04:00:00,54.72
2020-01-04T05:00:00,51.30
2020-01-04T06:00:00,51.59
2020-01-04T07:00:00,53.75
2020-01-04T08:00:00,47.91
2020-01-04T09:00:00,55.20
2020-01-04T10:00:00,49.63
2020-01-04T11:00:00,56.44
2020-01-04T12:00:00,56.36
2020-01-04T13:00:00,56.00
2020-01-04T14:00:00,55.72
2020-01-04T15:00:00,59.01
2020-01-04T16:00:00,64.11
2020-01-04T17:00:00,72.95
2020-01-04T18:00:00,66.44
2020-01-04T19:00:00,72.80
2020-01-04T20:00:00,68.07
2020-01-04T21:00:00,70.52
2020-01-04T22:00:00,67.67
2020-01-04T23:00:00,70.75
2020-01-05T00:00:00,66.52
2020-01-05T01:00:00,65.85
2020-01-05T02:00:00,56.40
2020-01-05T03:00:00,54.73
2020-01-05T04:00:00,51.34
2020-01-05T05:00:00,56.76
2020-01-05T06:00:00,47.98
2020-01-05T07:00:00,50.67
2020-01-05T08:00:00,49.70
2020-01-05T09:00:00,54.17
2020-01-05T10:00:00,52.20
2020-01-05T11:00:00,53.74
2020-01-05T12:00:00,55.16
2020-01-05T13:00:00,51.42
2020-01-05T14:00:00,60.93
2020-01-05T15:00:00,60.97
2020-01-05T16:00:00,66.33
2020-01-05T17:00:00,67.53
2020-01-05T18:00:00,68.34
2020-01-05T19:00:00,72.43
2020-01-05T20:00:00,68.69
2020-01-05T21:00:00,72.80
2020-01-05T22:00:00,66.60
2020-01-05T23:00:00,61.69
2020-01-06T00:00:00,66.86
2020-01-06T01:00:00,58.36
2020-01-06T02:00:00,55.89
2020-01-06T03:00:00,55.10
2020-01-06T04:00:00,57.18
2020-01-06T05:00:00,53.21
2020-01-06T06:00:00,52.80
2020-01-06T07:00:00,54.22
2020-01-06T08:00:00,53.94
2020-01-06T09:00:00,57.22
2020-01-06T10:00:00,51.78
2020-01-06T11:00:00,44.19
2020-01-06T12:00:00,55.62
2020-01-06T13:00:00,52.78
2020-01-06T14:00:00,58.43
2020-01-06T15:00:00,63.84
2020-01-06T16:00:00,62.93
2020-01-06T17:00:00,69.95
2020-01-06T18:00:00,67.97
2020-01-06T19:00:00,67.43
2020-01-06T20:00:00,64.88
2020-01-06T21:00:00,72.25
2020-01-06T22:00:00,65.32
2020-01-06T23:00:00,65.92
2020-01-07T00:00:00,67.44
2020-01-07T01:00:00,59.11
2020-01-07T02:00:00,59.43
2020-01-07T03:00:00,62.92
2020-01-07T04:00:00,55.14
2020-01-07T05:00:00,55.14
2020-01-07T06:00:00,54.25
2020-01-07T07:00:00,49.07
2020-01-07T08:00:00,54.05
2020-01-07T09:00:00,48.74
2020-01-07T10:00:00,50.69
2020-01-07T11:00:00,54.17
2020-01-07T12:00:00,53.16
2020-01-07T13:00:00,54.05
2020-01-07T14:00:00,63.59
2020-01-07T15:00:00,64.09
2020-01-07T16:00:00,63.10
2020-01-07T17:00:00,62.70
2020-01-07T18:00:00,70.73
2020-01-07T19:00:00,68.39
2020-01-07T20:00:00,69.20
2020-01-07T21:00:00,66.51
2020-01-07T22:00:00,62.92
2020-01-07T23:00:00,70.43
2020-01-08T00:00:00,65.38
2020-01-08T01:00:00,60.44
2020-01-08T02:00:00,64.32
2020-01-08T03:00:00,56.99
2020-01-08T04:00:00,57.11
2020-01-08T05:00:00,53.27
2020-01-08T06:00:00,51.49
2020-01-08T07:00:00,51.05
2020-01-08T08:00:00,48.46
2020-01-08T09:00:00,51.47
2020-01-08T10:00:00,60.03
2020-01-08T11:00:00,58.28
2020-01-08T12:00:00,61.07
2020-01-08T13:00:00,59.26
2020-01-08T14:00:00,60.41
2020-01-08T15:00:00,66.67
2020-01-08T16:00:00,64.86
2020-01-08T17:00:00,64.60
2020-01-08T18:00:00,69.20
2020-01-08T19:00:00,69.15
2020-01-08T20:00:00,68.58
2020-01-08T21:00:00,66.14
2020-01-08T22:00:00,66.57
2020-01-08T23:00:00,67.05
2020-01-09T00:00:00,62.82
2020-01-09T01:00:00,56.98
2020-01-09T02:00:00,59.07
2020-01-09T03:00:00,60.86
2020-01-09T04:00:00,55.74
2020-01-09T05:00:00,58.15
2020-01-09T06:00:00,55.50
2020-01-09T07:00:00,46.98
2020-01-09T08:00:00,51.40
2020-01-09T09:00:00,54.53
2020-01-09T10:00:00,49.13
2020-01-09T11:00:00,53.16
2020-01-09T12:00:00,58.22
2020-01-09T13:00:00,59.12
2020-01-09T14:00:00,58.51
2020-01-09T15:00:00,57.73
2020-01-09T16:00:00,71.60
2020-01-09T17:00:00,70.53
2020-01-09T18:00:00,67.55
2020-01-09T19:00:00,70.28
2020-01-09T20:00:00,65.27
2020-01-09T21:00:00,72.56
2020-01-09T22:00:00,66.13
2020-01-09T23:00:00,66.80
2020-01-10T00:00:00,68.77
2020-01-10T01:00:00,58.04
2020-01-10T02:00:00,61.19
2020-01-10T03:00:00,58.06
2020-01-10T04:00:00,55.94
2020-01-10T05:00:00,54.40
2020-01-10T06:00:00,52.94
2020-01-10T07:00:00,49.52
2020-01-10T08:00:00,58.18
2020-01-10T09:00:00,48.49
2020-01-10T10:00:00,47.34
2020-01-10T11:00:00,52.90
2020-01-10T12:00:00,51.67
2020-01-10T13:00:00,51.93
2020-01-10T14:00:00,60.06
2020-01-10T15:00:00,60.37
2020-01-10T16:00:00,62.25
2020-01-10T17:00:00,64.13
2020-01-10T18:00:00,74.66
2020-01-10T19:00:00,66.44
2020-01-10T20:00:00,74.98
2020-01-10T21:00:00,75.67
2020-01-10T22:00:00,66.08
2020-01-10T23:00:00,64.13
2020-01-11T00:00:00,64.75
2020-01-11T01:00:00,58.43
2020-01-11T02:00:00,55.51
2020-01-11T03:00:00,59.54
2020-01-11T04:00:00,53.93
2020-01-11T05:00:00,53.32
