timestamp,gco2_per_kwh
2020-01-01T00:00:00,265.79
2020-01-01T01:00:00,224.46
2020-01-01T02:00:00,219.06
2020-01-01T03:00:00,193.73
2020-01-01T04:00:00,172.02
2020-01-01T05:00:00,162.04
2020-01-01T06:00:00,157.79
2020-01-01T07:00:00,145.25
2020-01-01T08:00:00,135.62
2020-01-01T09:00:00,151.69
2020-01-01T10:00:00,138.07
2020-01-01T11:00:00,173.57
2020-01-01T12:00:00,178.81
2020-01-01T13:00:00,197.09
2020-01-01T14:00:00,210.11
2020-01-01T15:00:00,254.22
2020-01-01T16:00:00,271.11
2020-01-01T17:00:00,266.53
2020-01-01T18:00:00,291.15
2020-01-01T19:00:00,295.07
2020-01-01T20:00:00,298.35
2020-01-01T21:00:00,277.88
2020-01-01T22:00:00,280.32
2020-01-01T23:00:00,289.37
2020-01-02T00:00:00,262.14
2020-01-02T01:00:00,224.47
2020-01-02T02:00:00,232.54
2020-01-02T03:00:00,206.19
2020-01-02T04:00:00,185.04
2020-01-02T05:00:00,164.61
2020-01-02T06:00:00,155.14
2020-01-02T07:00:00,149.30
2020-01-02T08:00:00,166.63
2020-01-02T09:00:00,145.18
2020-01-02T10:00:00,163.37
2020-01-02T11:00:00,169.00
2020-01-02T12:00:00,180.30
2020-01-02T13:00:00,186.86
2020-01-02T14:00:00,221.88
2020-01-02T15:00:00,228.41
2020-01-02T16:00:00,272.87
2020-01-02T17:00:00,276.50
2020-01-02T18:00:00,287.19
2020-01-02T19:00:00,296.15
2020-01-02T20:00:00,300.51
2020-01-02T21:00:00,285.06
2020-01-02T22:00:00,296.13
2020-01-02T23:00:00,269.33
2020-01-03T00:00:00,246.29
2020-01-03T01:00:00,235.63
2020-01-03T02:00:00,242.28
2020-01-03T03:00:00,179.39
2020-01-03T04:00:00,193.48
2020-01-03T05:00:00,157.51
2020-01-03T06:00:00,172.61
2020-01-03T07:00:00,140.96
2020-01-03T08:00:00,153.94
2020-01-03T09:00:00,172.83
2020-01-03T10:00:00,148.59
2020-01-03T11:00:00,175.42
2020-01-03T12:00:00,188.00
2020-01-03T13:00:00,197.34
2020-01-03T14:00:00,228.99
2020-01-03T15:00:00,251.32
2020-01-03T16:00:00,262.94
2020-01-03T17:00:00,272.49
2020-01-03T18:00:00,282.96
2020-01-03T19:00:00,302.77
2020-01-03T20:00:00,301.82
2020-01-03T21:00:00,313.15
2020-01-03T22:00:00,297.03
2020-01-03T23:00:00,279.07
2020-01-04T00:00:00,259.52
2020-01-04T01:00:00,235.60
2020-01-04T02:00:00,228.75
2020-01-04T03:00:00,202.59
2020-01-04T04:00:00,177.72
2020-01-04T05:00:00,140.49
2020-01-04T06:00:00,147.90
2020-01-04T07:00:00,139.26
2020-01-04T08:00:00,149.53
2020-01-04T09:00:00,129.92
2020-01-04T10:00:00,135.98
2020-01-04T11:00:00,156.67
2020-01-04T12:00:00,169.72
2020-01-04T13:00:00,191.04
2020-01-04T14:00:00,211.49
2020-01-04T15:00:00,242.47
2020-01-04T16:00:00,247.39
2020-01-04T17:00:00,283.59
2020-01-04T18:00:00,288.45
2020-01-04T19:00:00,301.08
2020-01-04T20:00:00,292.21
2020-01-04T21:00:00,288.38
2020-01-04T22:00:00,298.56
2020-01-04T23:00:00,285.99
2020-01-05T00:00:00,254.15
2020-01-05T01:00:00,247.68
2020-01-05T02:00:00,222.83
2020-01-05T03:00:00,216.83
2020-01-05T04:00:00,180.71
2020-01-05T05:00:00,169.15
2020-01-05T06:00:00,158.45
2020-01-05T07:00:00,125.09
2020-01-05T08:00:00,137.03
2020-01-05T09:00:00,142.03
2020-01-05T10:00:00,138.12
2020-01-05T11:00:00,156.17
2020-01-05T12:00:00,210.17
2020-01-05T13:00:00,220.55
2020-01-05T14:00:00,210.11
2020-01-05T15:00:00,242.43
2020-01-05T16:00:00,262.04
2020-01-05T17:00:00,290.46
2020-01-05T18:00:00,283.54
2020-01-05T19:00:00,297.35
2020-01-05T20:00:00,305.02
2020-01-05T21:00:00,287.92
2020-01-05T22:00:00,278.91
2020-01-05T23:00:00,275.66
2020-01-06T00:00:00,266.64
2020-01-06T01:00:00,251.34
2020-01-06T02:00:00,203.43
2020-01-06T03:00:00,199.20
2020-01-06T04:00:00,192.27
2020-01-06T05:00:00,182.91
2020-01-06T06:00:00,155.49
2020-01-06T07:00:00,167.38
2020-01-06T08:00:00,153.11
2020-01-06T09:00:00,130.39
2020-01-06T10:00:00,156.01
2020-01-06T11:00:00,152.19
