timestamp,gco2_per_kwh
2020-01-01T00:00:00,695.80
2020-01-01T01:00:00,701.57
2020-01-01T02:00:00,702.00
2020-01-01T03:00:00,666.53
2020-01-01T04:00:00,693.74
2020-01-01T05:00:00,620.55
2020-01-01T06:00:00,569.69
2020-01-01T07:00:00,552.13
2020-01-01T08:00:00,582.89
2020-01-01T09:00:00,626.45
2020-01-01T10:00:00,622.48
2020-01-01T11:00:00,609.60
2020-01-01T12:00:00,676.48
2020-01-01T13:00:00,690.02
2020-01-01T14:00:00,760.42
2020-01-01T15:00:00,755.18
2020-01-01T16:00:00,738.00
2020-01-01T17:00:00,792.20
2020-01-01T18:00:00,792.48
2020-01-01T19:00:00,844.15
2020-01-01T20:00:00,790.38
2020-01-01T21:00:00,820.97
2020-01-01T22:00:00,750.23
2020-01-01T23:00:00,758.25
2020-01-02T00:00:00,761.09
2020-01-02T01:00:00,700.71
2020-01-02T02:00:00,607.14
2020-01-02T03:00:00,655.59
2020-01-02T04:00:00,634.50
2020-01-02T05:00:00,587.79
2020-01-02T06:00:00,587.27
2020-01-02T07:00:00,619.40
2020-01-02T08:00:00,570.70
2020-01-02T09:00:00,642.99
2020-01-02T10:00:00,630.89
2020-01-02T11:00:00,643.55
2020-01-02T12:00:00,671.86
2020-01-02T13:00:00,662.56
2020-01-02T14:00:00,717.03
2020-01-02T15:00:00,676.02
2020-01-02T16:00:00,756.80
2020-01-02T17:00:00,794.20
2020-01-02T18:00:00,793.06
2020-01-02T19:00:00,808.16
2020-01-02T20:00:00,780.16
2020-01-02T21:00:00,796.87
2020-01-02T22:00:00,755.65
2020-01-02T23:00:00,777.34
2020-01-03T00:00:00,760.45
2020-01-03T01:00:00,758.88
2020-01-03T02:00:00,688.56
2020-01-03T03:00:00,623.83
2020-01-03T04:00:00,659.86
2020-01-03T05:00:00,644.99
2020-01-03T06:00:00,623.62
2020-01-03T07:00:00,568.53
2020-01-03T08:00:00,633.06
2020-01-03T09:00:00,633.86
2020-01-03T10:00:00,679.84
2020-01-03T11:00:00,553.75
2020-01-03T12:00:00,667.17
2020-01-03T13:00:00,680.97
2020-01-03T14:00:00,707.72
2020-01-03T15:00:00,794.72
2020-01-03T16:00:00,714.01
2020-01-03T17:00:00,783.56
2020-01-03T18:00:00,825.86
2020-01-03T19:00:00,788.26
2020-01-03T20:00:00,743.60
2020-01-03T21:00:00,800.13
2020-01-03T22:00:00,817.98
2020-01-03T23:00:00,769.48
2020-01-04T00:00:00,702.37
2020-01-04T01:00:00,757.22
2020-01-04T02:00:00,713.35
2020-01-04T03:00:00,690.39
2020-01-04T04:00:00,641.49
2020-01-04T05:00:00,633.31
2020-01-04T06:00:00,667.63
2020-01-04T07:00:00,528.51
2020-01-04T08:00:00,615.50
2020-01-04T09:00:00,561.11
2020-01-04T10:00:00,595.44
2020-01-04T11:00:00,552.44
2020-01-04T12:00:00,642.04
2020-01-04T13:00:00,709.38
2020-01-04T14:00:00,751.27
2020-01-04T15:00:00,800.54
2020-01-04T16:00:00,797.85
2020-01-04T17:00:00,795.92
2020-01-04T18:00:00,836.03
2020-01-04T19:00:00,812.65
2020-01-04T20:00:00,820.28
2020-01-04T21:00:00,813.91
2020-01-04T22:00:00,841.63
2020-01-04T23:00:00,764.05
2020-01-05T00:00:00,751.04
2020-01-05T01:00:00,686.20
2020-01-05T02:00:00,707.09
2020-01-05T03:00:00,671.94
2020-01-05T04:00:00,659.06
2020-01-05T05:00:00,615.13
2020-01-05T06:00:00,598.19
2020-01-05T07:00:00,548.81
2020-01-05T08:00:00,575.56
2020-01-05T09:00:00,621.03
2020-01-05T10:00:00,638.00
2020-01-05T11:00:00,608.57
2020-01-05T12:00:00,631.50
2020-01-05T13:00:00,671.50
2020-01-05T14:00:00,646.37
2020-01-05T15:00:00,714.64
2020-01-05T16:00:00,742.31
2020-01-05T17:00:00,754.31
2020-01-05T18:00:00,761.84
2020-01-05T19:00:00,809.88
2020-01-05T20:00:00,822.10
2020-01-05T21:00:00,817.19
2020-01-05T22:00:00,829.15
2020-01-05T23:00:00,731.81
2020-01-06T00:00:00,722.91
2020-01-06T01:00:00,702.81
2020-01-06T02:00:00,750.15
2020-01-06T03:00:00,741.57
2020-01-06T04:00:00,613.98
2020-01-06T05:00:00,680.27
2020-01-06T06:00:00,580.87
2020-01-06T07:00:00,624.21
2020-01-06T08:00:00,591.28
2020-01-06T09:00:00,593.22
2020-01-06T10:00:00,650.72
2020-01-06T11:00:00,645.32
2020-01-06T12:00:00,698.06
2020-01-06T13:00:00,678.00
2020-01-06T14:00:00,707.08
2020-01-06T15:00:00,786.62
2020-01-06T16:00:00,784.40
2020-01-06T17:00:00,812.59
2020-01-06T18:00:00,797.21
2020-01-06T19:00:00,814.58
2020-01-06T20:00:00,743.56
2020-01-06T21:00:00,839.55
2020-01-06T22:00:00,815.21
2020-01-06T23:00:00,795.67
2020-01-07T00:00:00,666.61
2020-01-07T01:00:00,758.13
2020-01-07T02:00:00,680.08
2020-01-07T03:00:00,656.38
2020-01-07T04:00:00,672.38
2020-01-07T05:00:00,623.66
2020-01-07T06:00:00,552.23
2020-01-07T07:00:00,655.14
2020-01-07T08:00:00,634.44
2020-01-07T09:00:00,615.72
2020-01-07T10:00:00,613.34
2020-01-07T11:00:00,613.25
2020-01-07T12:00:00,640.29
2020-01-07T13:00:00,641.66
2020-01-07T14:00:00,699.22
2020-01-07T15:00:00,723.97
2020-01-07T16:00:00,761.68
2020-01-07T17:00:00,719.03
2020-01-07T18:00:00,787.63
2020-01-07T19:00:00,729.52
2020-01-07T20:00:00,819.23
2020-01-07T21:00:00,780.38
2020-01-07T22:00:00,811.37
2020-01-07T23:00:00,736.29
2020-01-08T00:00:00,739.44
2020-01-08T01:00:00,661.17
2020-01-08T02:00:00,724.29
2020-01-08T03:00:00,716.50
2020-01-08T04:00:00,662.92
2020-01-08T05:00:00,654.01
2020-01-08T06:00:00,622.43
2020-01-08T07:00:00,635.47
2020-01-08T08:00:00,601.06
2020-01-08T09:00:00,662.38
2020-01-08T10:00:00,615.96
2020-01-08T11:00:00,619.32
2020-01-08T12:00:00,642.82
2020-01-08T13:00:00,649.80
2020-01-08T14:00:00,712.23
2020-01-08T15:00:00,802.42
2020-01-08T16:00:00,735.95
2020-01-08T17:00:00,733.34
2020-01-08T18:00:00,762.03
2020-01-08T19:00:00,814.76
2020-01-08T20:00:00,795.08
2020-01-08T21:00:00,765.55
2020-01-08T22:00:00,772.88
2020-01-08T23:00:00,723.68
2020-01-09T00:00:00,721.73
2020-01-09T01:00:00,728.94
2020-01-09T02:00:00,745.82
2020-01-09T03:00:00,653.20
2020-01-09T04:00:00,638.00
2020-01-09T05:00:00,656.13
2020-01-09T06:00:00,659.59
2020-01-09T07:00:00,627.19
2020-01-09T08:00:00,581.34
2020-01-09T09:00:00,587.79
2020-01-09T10:00:00,629.97
2020-01-09T11:00:00,609.76
2020-01-09T12:00:00,649.15
2020-01-09T13:00:00,570.83
2020-01-09T14:00:00,747.77
2020-01-09T15:00:00,748.95
2020-01-09T16:00:00,715.35
2020-01-09T17:00:00,802.49
2020-01-09T18:00:00,801.53
2020-01-09T19:00:00,821.54
2020-01-09T20:00:00,869.28
2020-01-09T21:00:00,742.30
2020-01-09T22:00:00,740.81
2020-01-09T23:00:00,780.11
2020-01-10T00:00:00,751.60
2020-01-10T01:00:00,680.43
2020-01-10T02:00:00,718.81
2020-01-10T03:00:00,634.04
2020-01-10T04:00:00,633.94
2020-01-10T05:00:00,589.94
2020-01-10T06:00:00,637.40
2020-01-10T07:00:00,591.68
2020-01-10T08:00:00,627.99
